tanggal,judul,judul_link,konten_full
"JANUARY 15, 2024","Pembukaan Pelatihan Innas Susenas Maret 2024","https://berita2600.wordpress.com/2024/01/15/pembukaan-pelatihan-innas-susenas-maret-2024/","JANUARY 15, 2024\nPembukaan Pelatihan Innas Susenas Maret 2024\n\nPusdiklat BPS berkolaborasi dengan Direktorat Statistik Kesejahteraan Rakyat menyelenggarakan Pelatihan Instruktur Nasional Survei Sosial Ekonomi Nasional (Innas Susenas) Maret 2024 diawali dengan Pembelajaran Mandiri (Massive Open Online Course/MOOC) selama 3 (tiga) hari pada 10-12 Januari 2024 dan pembelajaran jarak jauh (PJJ) selama 3 (tiga) hari pada 15-17 Januari 2024. Peserta pelatihan berjumlah 868 calon Innas yang terdiri atas 849 Innas daerah dan 19 Innas pusat, yang diselenggarakan dalam 22 kelas.\n\nDalam penyampaian laporan penyelenggaraan pelatihan, Koordinator tim pelatihan sensus dan survei Pusdiklat BPS, Tri Nugrahadi mengatakan bahwa tujuan diselenggarakannya Pelatihan Innas Susenas Maret 2024 ini adalah untuk memberikan penjelasan dan pemahaman yang sama tentang SOP pelaksanaan Susenas Maret 2024, konsep definisi, operasionalisasi aplikasi, tata cara pengisian Susenas Maret 2024, dan pemahaman mengenai indikator sosial ekonomi yang dihasilkan dari Susenas Maret 2024 kepada Calon Innas sebagai bekal untuk mengajar petugas lapangan Susenas Maret 2024.\n\nhttps://www.instagram.com/p/C2GtUijRHcb/?igsh=MzRlODBiNWFlZA\nhttps://m.facebook.com/story.php?story_fbid=pfbid023B6dmq4SAsPbatJ1KR2g49MMYMfh6zP5Cq1FSZLcf6qdGc68v3dXCuZEcFpZ7Btdl&id=100063672908214&mibextid=qC1gEa"
"JANUARY 10, 2024","Pemilihan Change Champion Pusdiklat BPS Tahun 2024","https://berita2600.wordpress.com/2024/01/10/pemilihan-change-champion-pusdiklat-bps-tahun-2024/","JANUARY 15, 2024\nPembukaan Pelatihan Innas Susenas Maret 2024\n\nPusdiklat BPS berkolaborasi dengan Direktorat Statistik Kesejahteraan Rakyat menyelenggarakan Pelatihan Instruktur Nasional Survei Sosial Ekonomi Nasional (Innas Susenas) Maret 2024 diawali dengan Pembelajaran Mandiri (Massive Open Online Course/MOOC) selama 3 (tiga) hari pada 10-12 Januari 2024 dan pembelajaran jarak jauh (PJJ) selama 3 (tiga) hari pada 15-17 Januari 2024. Peserta pelatihan berjumlah 868 calon Innas yang terdiri atas 849 Innas daerah dan 19 Innas pusat, yang diselenggarakan dalam 22 kelas.\n\nDalam penyampaian laporan penyelenggaraan pelatihan, Koordinator tim pelatihan sensus dan survei Pusdiklat BPS, Tri Nugrahadi mengatakan bahwa tujuan diselenggarakannya Pelatihan Innas Susenas Maret 2024 ini adalah untuk memberikan penjelasan dan pemahaman yang sama tentang SOP pelaksanaan Susenas Maret 2024, konsep definisi, operasionalisasi aplikasi, tata cara pengisian Susenas Maret 2024, dan pemahaman mengenai indikator sosial ekonomi yang dihasilkan dari Susenas Maret 2024 kepada Calon Innas sebagai bekal untuk mengajar petugas lapangan Susenas Maret 2024.\n\nhttps://www.instagram.com/p/C2GtUijRHcb/?igsh=MzRlODBiNWFlZA\nhttps://m.facebook.com/story.php?story_fbid=pfbid023B6dmq4SAsPbatJ1KR2g49MMYMfh6zP5Cq1FSZLcf6qdGc68v3dXCuZEcFpZ7Btdl&id=100063672908214&mibextid=qC1gEa"
"JANUARY 10, 2024","Audiensi Pusdiklat BPS dengan Sestama BPS","https://berita2600.wordpress.com/2024/01/10/audiensi-pusdiklat-bps-dengan-sestama-bps/","JANUARY 10, 2024\nPemilihan Change Champion Pusdiklat BPS Tahun 2024\n\nPusdiklat BPS mengadakan pemilihan Change Champion (CC) tahun 2024 hari ini (10/01). Acara dilaksanakan di Aula Lantai 4 Pusdiklat BPS. Seluruh pegawai turut hadir dalam pemilihan change champion hari ini.\n\nKepala Pusdiklat BPS, Suntono, menyampaikan bahwa Change Champion adalah role model perubahan BPS, oleh karenanya CC tidak hanya berkutat pada budaya kerja saja, namun juga bisa memberikan alternatif solusi pada kegiatan teknis untuk mencapai birokrasi yang agile, lincah dan cepat.\n\nPemilihan Change Champion dibuat seperti simulasi pemilihan umum yang ada di Indonesia. Seluruh pegawai Pusdiklat BPS melakukan pencoblosan 3 dari 6 pegawai yang terpilih. Hasil suara menyatakan bahwa Sari Novianti, Geminda P Prasetya, dan Yuli Cahya Ningrum sebagai Calon Change Champion Pusdiklat BPS Tahun 2024.\n\nAdanya Change Champion Pusdiklat BPS diharapkan menjadi salah satu bukti nyata dalam melakukan perubahan ke arah yang lebih baik lagi. Selamat kepada Calon Change Champion Pusdiklat BPS Tahun 2024.\n\n#PusdiklatBPS\n\nhttps://www.instagram.com/p/C16dJSExjLO/?igsh=MzRlODBiNWFlZA\nhttps://m.facebook.com/story.php?story_fbid=pfbid02GfobiwQakufcLqv459Y1QQfNLXdq29zerPe52fSNPYcZNjiTPYgndR54N7jpFP3zl&id=100063672908214&mibextid=qC1gEa"
"JANUARY 8, 2024","Apel Pagi Perdana BPS Tahun 2024","https://berita2600.wordpress.com/2024/01/08/apel-pagi-perdana-bps-tahun-2024/","JANUARY 10, 2024\nPemilihan Change Champion Pusdiklat BPS Tahun 2024\n\nPusdiklat BPS mengadakan pemilihan Change Champion (CC) tahun 2024 hari ini (10/01). Acara dilaksanakan di Aula Lantai 4 Pusdiklat BPS. Seluruh pegawai turut hadir dalam pemilihan change champion hari ini.\n\nKepala Pusdiklat BPS, Suntono, menyampaikan bahwa Change Champion adalah role model perubahan BPS, oleh karenanya CC tidak hanya berkutat pada budaya kerja saja, namun juga bisa memberikan alternatif solusi pada kegiatan teknis untuk mencapai birokrasi yang agile, lincah dan cepat.\n\nPemilihan Change Champion dibuat seperti simulasi pemilihan umum yang ada di Indonesia. Seluruh pegawai Pusdiklat BPS melakukan pencoblosan 3 dari 6 pegawai yang terpilih. Hasil suara menyatakan bahwa Sari Novianti, Geminda P Prasetya, dan Yuli Cahya Ningrum sebagai Calon Change Champion Pusdiklat BPS Tahun 2024.\n\nAdanya Change Champion Pusdiklat BPS diharapkan menjadi salah satu bukti nyata dalam melakukan perubahan ke arah yang lebih baik lagi. Selamat kepada Calon Change Champion Pusdiklat BPS Tahun 2024.\n\n#PusdiklatBPS\n\nhttps://www.instagram.com/p/C16dJSExjLO/?igsh=MzRlODBiNWFlZA\nhttps://m.facebook.com/story.php?story_fbid=pfbid02GfobiwQakufcLqv459Y1QQfNLXdq29zerPe52fSNPYcZNjiTPYgndR54N7jpFP3zl&id=100063672908214&mibextid=qC1gEa"
"JANUARY 8, 2024","Pembukaan Pelatihan Innas Sakernas Februari 2024","https://berita2600.wordpress.com/2024/01/08/pembukaan-pelatihan-innas-sakernas-februari-2024/","JANUARY 10, 2024\nAudiensi Pusdiklat BPS dengan Sestama BPS\n\nJakarta – Mengawali tahun 2024, Kepala Pusdiklat Badan Pusat Statistik, Suntono, beserta tim melakukan audiensi dengan Sekretaris Utama Badan Pusat Statistik, Atqo Mardiyanto, di Kantor Badan Pusat Statistik pada Selasa (09/01). Audiensi ini dilakukan untuk menyampaikan capaian kegiatan Pusdiklat BPS tahun 2023 dan strategi menghadapi kegiatan tahun 2024.\n\nPada 2024 ini, selain rutinitas pelaksanaan pelatihan dan pendidikan, Pusdiklat BPS akan melaksanakan 3 kegiatan prioritas yaitu:\n\nSertifikasi enumerator.\nPeningkatan pelatihan teknis substantif BPS.\nAkreditasi lembaga penyelenggara pelatihan statistisi dan pranata komputer.\n\nKegiatan yang akan dilakukan Pusdiklat BPS ini akan melibatkan beragam stakeholders. Kolaborasi dan koordinasi diharapkan dapat dirajut dengan baik demi keberhasilan semua kegiatan. Selanjutnya, perencanaan yang matang juga perlu diperhatikan agar tujuan kinerja 2024 dapat tercapai sepenuhnya.\n\nhttps://www.instagram.com/p/C16G6FGxXir/?igsh=MzRlODBiNWFlZA\nhttps://m.facebook.com/story.php?story_fbid=pfbid02Wf8F9KhBmzPHfS1EwAUSQMMXG9QyQVkeAtFrbAMVt33cCGwJ2w9fNrWAYtKnyw9Jl&id=100063672908214&mibextid=qC1gEa"
"JANUARY 3, 2024","Pembukaan Pelatihan Innas Survei Harga Produsen 2024","https://berita2600.wordpress.com/2024/01/03/pembukaan-pelatihan-innas-survei-harga-produsen-2024/","JANUARY 10, 2024\nAudiensi Pusdiklat BPS dengan Sestama BPS\n\nJakarta – Mengawali tahun 2024, Kepala Pusdiklat Badan Pusat Statistik, Suntono, beserta tim melakukan audiensi dengan Sekretaris Utama Badan Pusat Statistik, Atqo Mardiyanto, di Kantor Badan Pusat Statistik pada Selasa (09/01). Audiensi ini dilakukan untuk menyampaikan capaian kegiatan Pusdiklat BPS tahun 2023 dan strategi menghadapi kegiatan tahun 2024.\n\nPada 2024 ini, selain rutinitas pelaksanaan pelatihan dan pendidikan, Pusdiklat BPS akan melaksanakan 3 kegiatan prioritas yaitu:\n\nSertifikasi enumerator.\nPeningkatan pelatihan teknis substantif BPS.\nAkreditasi lembaga penyelenggara pelatihan statistisi dan pranata komputer.\n\nKegiatan yang akan dilakukan Pusdiklat BPS ini akan melibatkan beragam stakeholders. Kolaborasi dan koordinasi diharapkan dapat dirajut dengan baik demi keberhasilan semua kegiatan. Selanjutnya, perencanaan yang matang juga perlu diperhatikan agar tujuan kinerja 2024 dapat tercapai sepenuhnya.\n\nhttps://www.instagram.com/p/C16G6FGxXir/?igsh=MzRlODBiNWFlZA\nhttps://m.facebook.com/story.php?story_fbid=pfbid02Wf8F9KhBmzPHfS1EwAUSQMMXG9QyQVkeAtFrbAMVt33cCGwJ2w9fNrWAYtKnyw9Jl&id=100063672908214&mibextid=qC1gEa"
"DECEMBER 19, 2023","Rapat Koordinasi Pusdiklat BPS dan Universitas Negeri Jakarta","https://berita2600.wordpress.com/2023/12/19/rapat-koordinasi-pusdiklat-bps-dan-universitas-negeri-jakarta/","JANUARY 8, 2024\nApel Pagi Perdana BPS Tahun 2024\n\nPusdiklat BPS turut serta dalam apel pagi perdana BPS tahun 2024 hari ini (08/01). Seluruh pegawai Pusdiklat BPS menyaksikan apel perdana melalui zoom meeting yang disediakan di Aula Pusdiklat BPS.\n\nSekretaris Utama BPS, Atqo Mardiyanto, menjadi pembina apel pada apel pagi ini. Atqo menyampaikan apresiasi kepada seluruh pegawai BPS seluruh Indonesia yang telah berdedikasi untuk kegiatan BPS di tahun 2023. Selain itu, Atqo juga mengingatkan setidaknya terdapat tiga target utama yang harus dicapai tahun 2024, yaitu penguatan SDM; penguatan kelembagaan dan proses bisnis melalui perubahan UU Statistik, percepatan implementasi Economy-Wide Survey dan Business Characteristics Survey, serta optimalisasi teknologi informasi; dan prioritas lainnya seperti Rencana Strategis BPS 2025-2029 dan penyediaan indikator strategis untuk daerah otonomi baru.\n\nApel dilaksanakan dengan khidmat oleh seluruh pegawai Pusdiklat BPS. Semoga apel perdana ini menjadi awal yang baik dalam membangun optimisme dan konsistensi Pusdiklat BPS dalam melaksanakan tugas dan fungsi tahun 2024.\n\n#PusdiklatBPS\n\nhttps://www.instagram.com/p/C11frvDRNjh/\nhttps://m.facebook.com/story.php?story_fbid=pfbid08JoVHeFRcuheR8C1edPPp8XUJcmgzGNNukcNEAMcUSzdhabP882i3ZgsLKA5Qk2dl&id=100063672908214&mibextid=qC1gEa"
"DECEMBER 15, 2023","Penutupan Study Visit GSO Vietnam di Pusdiklat BPS","https://berita2600.wordpress.com/2023/12/15/penutupan-study-visit-gso-vietnam-di-pusdiklat-bps/","JANUARY 8, 2024\nApel Pagi Perdana BPS Tahun 2024\n\nPusdiklat BPS turut serta dalam apel pagi perdana BPS tahun 2024 hari ini (08/01). Seluruh pegawai Pusdiklat BPS menyaksikan apel perdana melalui zoom meeting yang disediakan di Aula Pusdiklat BPS.\n\nSekretaris Utama BPS, Atqo Mardiyanto, menjadi pembina apel pada apel pagi ini. Atqo menyampaikan apresiasi kepada seluruh pegawai BPS seluruh Indonesia yang telah berdedikasi untuk kegiatan BPS di tahun 2023. Selain itu, Atqo juga mengingatkan setidaknya terdapat tiga target utama yang harus dicapai tahun 2024, yaitu penguatan SDM; penguatan kelembagaan dan proses bisnis melalui perubahan UU Statistik, percepatan implementasi Economy-Wide Survey dan Business Characteristics Survey, serta optimalisasi teknologi informasi; dan prioritas lainnya seperti Rencana Strategis BPS 2025-2029 dan penyediaan indikator strategis untuk daerah otonomi baru.\n\nApel dilaksanakan dengan khidmat oleh seluruh pegawai Pusdiklat BPS. Semoga apel perdana ini menjadi awal yang baik dalam membangun optimisme dan konsistensi Pusdiklat BPS dalam melaksanakan tugas dan fungsi tahun 2024.\n\n#PusdiklatBPS\n\nhttps://www.instagram.com/p/C11frvDRNjh/\nhttps://m.facebook.com/story.php?story_fbid=pfbid08JoVHeFRcuheR8C1edPPp8XUJcmgzGNNukcNEAMcUSzdhabP882i3ZgsLKA5Qk2dl&id=100063672908214&mibextid=qC1gEa"
"DECEMBER 14, 2023","Kolaborasi dan Komunikasi, Kunci Sukses Pembinaan Statistik Sektoral","https://berita2600.wordpress.com/2023/12/14/kolaborasi-dan-komunikasi-kunci-sukses-pembinaan-statistik-sektoral/","JANUARY 8, 2024\nPembukaan Pelatihan Innas Sakernas Februari 2024\n\nPembukaan Pelatihan Innas Sakernas Februari 2024\n\nPusdiklat BPS berkolaborasi dengan Direktorat Statistik Kependudukan dan Ketenagakerjaan menyelenggarakan Pelatihan Instruktur Nasional Survei Angakatan Kerja Nasional (Innas Sakernas) Februari 2024 diawali dengan Pembelajaran Mandiri (Massive Open Online Course/MOOC) selama 2 (dua) hari pada 4-5 Januari 2024 dan pembelajaran jarak jauh (PJJ) selama 4 (empat) hari pada 8-11 Januari 2024. Peserta pelatihan berjumlah 136 peserta yang meliputi 115 Calon Innas dan 21 Sit-in, yang diselenggarakan dalam 3 kelas.\n\nDalam penyampaian laporan penyelenggaraan pelatihan, Ketua tim pelatihan subject matter Pusdiklat BPS, Sugiharto mengatakan bahwa pada pelatihan ini diterapkan Fun Learning dengan memberikan Ice-Breaking atau Fun Quiz. Hal ini bertujuan untuk me-refresh peserta dan fasilitator agar tetap fokus serta membangun pengalaman belajar yang menyenangkan.\n\nPendataan Sakernas Februari 2024 dilakukan dengan Moda Computer-assisted personal interviewing (CAPI) di hampir seluruh wilayah Indonesia kecuali di 19 kabupaten/kota di Papua menggunakan Moda Paper-Assisted Personal Interviewing (PAPI). Hal ini disampaikan oleh Direktur Statistik Kependudukan dan Ketenagakerjaan, Ali Said pada pembukaan Pelatihan Innas Sakernas Februari 2024 hari ini (8/1) secara daring. Beliau berharap agar pelaksanaan pelatihan Innas Sakernas Februari 2024 dapat berjalan lancar dan berhasil baik. Demikian pula dengan keseluruhan tahapan pelaksanaan Sakernas Februari 2024 dapat berjalan lancar, sesuai dengan jadwal, tercapat tujuan yang diharapkan, dan menghasilkan data ketenagakerjaan berkualitas.\n\n#PusdiklatBPS\n\nhttps://www.instagram.com/p/C11gPELxX0x/?igsh=MzRlODBiNWFlZA\nhttps://m.facebook.com/story.php?story_fbid=pfbid02U7FhxSW95rmmtCpDNRd3wMLkEEhD2tC9Qhypp1UFuMNNAvvm91ebjtiPxKWCLPtzl&id=100063672908214&mibextid=qC1gEa"
"DECEMBER 13, 2023","Workshop Penyusunan Kurikulum dan Modul Pelatihan","https://berita2600.wordpress.com/2023/12/13/workshop-penyusunan-kurikulum-dan-modul-pelatihan/","JANUARY 8, 2024\nPembukaan Pelatihan Innas Sakernas Februari 2024\n\nPembukaan Pelatihan Innas Sakernas Februari 2024\n\nPusdiklat BPS berkolaborasi dengan Direktorat Statistik Kependudukan dan Ketenagakerjaan menyelenggarakan Pelatihan Instruktur Nasional Survei Angakatan Kerja Nasional (Innas Sakernas) Februari 2024 diawali dengan Pembelajaran Mandiri (Massive Open Online Course/MOOC) selama 2 (dua) hari pada 4-5 Januari 2024 dan pembelajaran jarak jauh (PJJ) selama 4 (empat) hari pada 8-11 Januari 2024. Peserta pelatihan berjumlah 136 peserta yang meliputi 115 Calon Innas dan 21 Sit-in, yang diselenggarakan dalam 3 kelas.\n\nDalam penyampaian laporan penyelenggaraan pelatihan, Ketua tim pelatihan subject matter Pusdiklat BPS, Sugiharto mengatakan bahwa pada pelatihan ini diterapkan Fun Learning dengan memberikan Ice-Breaking atau Fun Quiz. Hal ini bertujuan untuk me-refresh peserta dan fasilitator agar tetap fokus serta membangun pengalaman belajar yang menyenangkan.\n\nPendataan Sakernas Februari 2024 dilakukan dengan Moda Computer-assisted personal interviewing (CAPI) di hampir seluruh wilayah Indonesia kecuali di 19 kabupaten/kota di Papua menggunakan Moda Paper-Assisted Personal Interviewing (PAPI). Hal ini disampaikan oleh Direktur Statistik Kependudukan dan Ketenagakerjaan, Ali Said pada pembukaan Pelatihan Innas Sakernas Februari 2024 hari ini (8/1) secara daring. Beliau berharap agar pelaksanaan pelatihan Innas Sakernas Februari 2024 dapat berjalan lancar dan berhasil baik. Demikian pula dengan keseluruhan tahapan pelaksanaan Sakernas Februari 2024 dapat berjalan lancar, sesuai dengan jadwal, tercapat tujuan yang diharapkan, dan menghasilkan data ketenagakerjaan berkualitas.\n\n#PusdiklatBPS\n\nhttps://www.instagram.com/p/C11gPELxX0x/?igsh=MzRlODBiNWFlZA\nhttps://m.facebook.com/story.php?story_fbid=pfbid02U7FhxSW95rmmtCpDNRd3wMLkEEhD2tC9Qhypp1UFuMNNAvvm91ebjtiPxKWCLPtzl&id=100063672908214&mibextid=qC1gEa"
